契約ID,検知日時,緯度,経度,座標に基づく都道府県名,座標に基づく市町村名,検知時車両速度,検知時運転時間,衝突感知フラグ,急停車フラグ,急ハンドルフラグ,SOS発信フラグ,アルコール検知フラグ
CTR00017,2026-08-01 09:17:28,34.691364,135.210695,兵庫県,神戸市,3.0,196,0,0,0,0,0
CTR00215,2026-08-01 17:57:00,35.693652,139.699164,東京都,新宿区,38.4,131,0,0,0,0,0
CTR00243,2026-08-01 12:38:35,34.402969,132.462043,広島県,広島市,36.2,270,0,0,0,0,0
CTR00288,2026-08-01 19:54:09,35.696305,139.776271,東京都,千代田区,9.9,79,0,0,0,0,0
CTR00290,2026-08-01 20:42:14,34.676725,135.20133,兵庫県,神戸市,76.2,51,0,1,0,0,0
CTR00126,2026-08-01 11:15:38,43.056649,141.353985,北海道,札幌市,36.5,120,0,0,0,0,0
CTR00067,2026-08-01 09:57:49,43.049632,141.330872,北海道,札幌市,92.6,238,0,0,0,0,0
CTR00125,2026-08-01 08:36:09,35.549037,139.695459,神奈川県,川崎市,60.3,205,0,0,0,0,0
CTR00068,2026-08-01 19:44:21,35.516966,139.705048,神奈川県,川崎市,76.2,46,0,0,0,0,0
CTR00173,2026-08-01 15:20:21,38.249719,140.879234,宮城県,仙台市,5.8,188,0,0,0,0,0
CTR00219,2026-08-01 23:20:20,35.656338,139.749485,東京都,港区,80.7,167,0,0,0,0,0
CTR00126,2026-08-01 15:29:03,35.525149,139.715077,神奈川県,川崎市,21.1,61,0,0,0,0,0
CTR00067,2026-08-01 11:01:26,35.683171,139.697016,東京都,新宿区,0.6,140,0,0,0,0,0
CTR00023,2026-08-01 22:32:07,34.394226,132.446513,広島県,広島市,2.4,79,0,0,0,0,0
CTR00083,2026-08-01 15:50:20,43.078958,141.35417,北海道,札幌市,84.2,148,0,0,0,0,0
CTR00183,2026-08-01 16:32:30,34.708377,135.500458,大阪府,大阪市,55.5,152,0,0,0,0,0
CTR00030,2026-08-01 20:48:21,35.429415,139.649014,神奈川県,横浜市,49.7,294,0,0,0,0,0
CTR00241,2026-08-01 23:03:58,33.601721,130.410302,福岡県,福岡市,89.6,92,0,1,0,0,0
CTR00107,2026-08-01 13:16:48,35.700899,139.787762,東京都,千代田区,90.7,145,0,0,0,0,0
CTR00217,2026-08-01 18:52:09,34.697134,135.181065,兵庫県,神戸市,87.6,105,0,0,0,0,0
CTR00013,2026-08-01 18:39:02,35.660683,139.742032,東京都,港区,37.1,170,0,0,0,0,0
CTR00216,2026-08-01 23:58:25,34.696166,135.205044,兵庫県,神戸市,64.5,153,0,0,0,0,0
CTR00111,2026-08-01 14:47:52,35.182738,136.910205,愛知県,名古屋市,,175,0,1,0,0,0
CTR00175,2026-08-01 20:09:51,35.690352,139.710741,東京都,新宿区,1.7,191,0,0,0,0,0
CTR00033,2026-08-01 16:08:56,34.694418,135.496224,大阪府,大阪市,0.1,47,0,0,0,0,0
CTR00217,2026-08-01 15:40:06,34.68842,135.19142,兵庫県,神戸市,6.6,161,0,0,0,0,0
CTR00119,2026-08-01 14:00:07,35.532029,139.708938,神奈川県,川崎市,56.1,282,0,0,0,0,0
CTR00267,2026-08-01 20:54:33,35.531891,139.719157,神奈川県,川崎市,64.3,53,0,0,0,0,0
CTR00282,2026-08-01 18:01:21,35.706724,139.691592,東京都,新宿区,4.5,165,0,0,0,0,0
CTR00294,2026-08-01 15:31:16,35.191934,136.908274,愛知県,名古屋市,45.9,7,0,0,0,0,0
CTR00091,2026-08-01 09:01:36,33.584685,130.413202,福岡県,福岡市,56.4,95,0,0,0,0,0
CTR00203,2026-08-01 16:19:21,34.366857,132.436741,広島県,広島市,86.7,241,0,0,0,0,0
CTR00041,2026-08-01 13:45:00,35.702052,139.754412,東京都,千代田区,36.4,275,0,0,0,0,0
CTR00024,2026-08-01 12:18:43,34.696286,135.181564,兵庫県,神戸市,53.9,252,0,0,0,0,0
CTR00249,2026-08-01 16:57:32,38.2691,140.851585,宮城県,仙台市,22.6,89,0,0,1,0,0
CTR00271,2026-08-01 13:43:03,34.692169,135.51914,大阪府,大阪市,72.9,130,0,1,0,0,0
CTR00193,2026-08-01 10:56:18,35.539538,139.717406,神奈川県,川崎市,80.0,151,0,0,0,0,0
CTR00002,2026-08-01 15:43:18,34.702756,135.195561,兵庫県,神戸市,31.3,118,0,0,1,0,0
CTR00012,2026-08-01 08:01:52,35.523071,139.697018,神奈川県,川崎市,33.4,61,0,0,0,0,0
CTR00029,2026-08-01 14:22:11,34.681153,135.192781,兵庫県,神戸市,6.8,161,0,0,0,0,0
CTR00219,2026-08-01 11:57:36,35.685404,139.682271,東京都,新宿区,48.3,212,0,0,0,0,0
