契約ID,検知日時,緯度,経度,座標に基づく都道府県名,座標に基づく市町村名,検知時車両速度,検知時運転時間,衝突感知フラグ,急停車フラグ,急ハンドルフラグ,SOS発信フラグ,アルコール検知フラグ
CTR00183,2026-08-03 08:46:35,35.676798,139.710308,東京都,新宿区,63.2,74,0,0,0,0,0
CTR00144,2026-08-03 19:04:27,34.703108,135.207302,兵庫県,神戸市,76.5,274,0,0,0,0,0
CTR00179,2026-08-03 13:45:11,34.673396,135.199499,兵庫県,神戸市,54.6,177,0,0,0,0,0
CTR00179,2026-08-03 09:22:02,35.435278,139.649329,神奈川県,横浜市,98.7,161,0,0,0,0,0
CTR00209,2026-08-03 12:39:26,35.710023,139.79235,東京都,千代田区,93.4,103,0,0,0,0,0
CTR00050,2026-08-03 21:16:06,35.196955,136.888288,愛知県,名古屋市,67.9,296,0,0,0,0,0
CTR00184,2026-08-03 10:04:25,35.679031,139.789265,東京都,千代田区,99.2,186,0,0,0,0,0
CTR00099,2026-08-03 19:38:30,35.2006,136.918715,愛知県,名古屋市,53.7,35,0,0,0,0,0
CTR00277,2026-08-03 23:25:14,35.51636,139.700503,神奈川県,川崎市,21.2,69,0,0,1,0,0
CTR00108,2026-08-03 13:29:42,35.653682,139.741133,東京都,港区,16.0,151,0,0,0,0,0
CTR00129,2026-08-03 20:11:20,35.166229,136.90246,愛知県,名古屋市,22.1,101,0,0,0,0,0
CTR00036,2026-08-03 19:04:46,34.689389,135.520211,大阪府,大阪市,76.4,101,0,0,0,0,0
CTR00158,2026-08-03 09:12:01,35.445777,139.627674,神奈川県,横浜市,96.8,174,0,0,0,0,0
CTR00101,2026-08-03 15:32:40,43.047683,141.334986,北海道,札幌市,20.7,101,0,0,1,0,0
CTR00273,2026-08-03 09:02:00,35.533616,139.706163,神奈川県,川崎市,24.0,187,0,0,0,0,0
CTR00082,2026-08-03 17:15:24,35.684383,139.702093,東京都,新宿区,95.2,51,0,1,0,0,0
CTR00026,2026-08-03 18:23:14,34.392957,132.44577,広島県,広島市,82.9,135,0,0,0,0,0
CTR00144,2026-08-03 16:16:53,33.593737,130.400268,福岡県,福岡市,48.0,75,0,0,0,0,0
CTR00183,2026-08-03 09:23:14,38.276235,140.883622,宮城県,仙台市,30.9,48,0,0,0,0,0
CTR00246,2026-08-03 20:32:58,35.526545,139.701837,神奈川県,川崎市,34.0,159,0,0,0,0,0
CTR00069,2026-08-03 17:29:38,34.705261,135.487064,大阪府,大阪市,28.6,158,0,0,0,0,0
CTR00119,2026-08-03 10:25:38,34.70247,135.519507,大阪府,大阪市,25.9,173,0,0,0,0,0
CTR00085,2026-08-03 16:33:45,35.197434,136.909707,愛知県,名古屋市,12.1,266,0,0,0,0,0
CTR00250,2026-08-03 08:42:47,43.049655,141.35602,北海道,札幌市,25.7,296,0,0,0,0,0
CTR00236,2026-08-03 13:35:16,35.641389,139.761136,東京都,港区,28.8,298,0,0,0,0,0
CTR00298,2026-08-03 08:12:35,43.054414,141.360019,北海道,札幌市,98.1,29,0,1,0,0,0
CTR00172,2026-08-03 22:05:17,35.51478,139.713564,神奈川県,川崎市,97.0,168,0,0,0,0,0
CTR00275,2026-08-03 13:55:41,33.600711,130.392977,福岡県,福岡市,92.5,22,0,0,0,0,0
CTR00032,2026-08-03 14:55:04,35.532294,139.690578,神奈川県,川崎市,27.2,182,0,0,0,0,0
CTR00198,2026-08-03 21:34:27,35.677861,139.699532,東京都,新宿区,99.6,241,0,0,0,0,0
CTR00284,2026-08-03 11:19:17,34.67493,135.214579,兵庫県,神戸市,44.5,62,0,0,0,0,0
CTR00281,2026-08-03 16:11:15,34.688788,135.514374,大阪府,大阪市,87.0,150,0,0,0,0,0
CTR00207,2026-08-03 23:42:54,38.257333,140.851738,宮城県,仙台市,47.4,171,0,0,0,0,0
CTR00090,2026-08-03 19:21:10,35.683058,139.703526,東京都,新宿区,28.2,203,0,0,0,0,0
CTR00114,2026-08-03 09:56:37,34.405172,132.452374,広島県,広島市,3.0,200,0,0,0,0,0
CTR00016,2026-08-03 23:32:43,35.526868,139.70301,神奈川県,川崎市,65.1,49,0,0,0,0,0
CTR00249,2026-08-03 12:16:06,38.251212,140.864434,宮城県,仙台市,0.7,46,0,0,0,0,0
CTR00166,2026-08-03 13:29:11,43.045284,141.35824,北海道,札幌市,,101,0,0,0,0,0
CTR00071,2026-08-03 23:02:24,33.589896,130.419515,福岡県,福岡市,93.1,186,0,0,0,0,0
CTR00193,2026-08-03 15:58:10,35.711124,139.768791,東京都,千代田区,73.0,241,0,0,0,0,0
CTR00198,2026-08-03 14:48:22,35.688648,139.766988,東京都,千代田区,62.5,279,0,0,0,0,0
CTR00283,2026-08-03 15:06:56,35.656598,139.753116,東京都,港区,99.5,250,0,0,0,0,0
CTR00288,2026-08-03 13:52:00,38.257786,140.850696,宮城県,仙台市,51.4,287,0,0,0,0,0
CTR00038,2026-08-03 12:29:58,43.059979,141.361582,北海道,札幌市,96.7,39,0,0,0,0,0
CTR00204,2026-08-03 13:31:07,35.659644,139.752911,東京都,港区,73.6,170,0,0,0,0,0
CTR00133,2026-08-03 12:09:13,38.25589,140.861779,宮城県,仙台市,41.1,78,0,0,0,0,1
CTR00252,2026-08-03 09:42:10,43.047743,141.353975,北海道,札幌市,59.6,183,0,0,1,0,0
