契約ID,検知日時,緯度,経度,座標に基づく都道府県名,座標に基づく市町村名,検知時車両速度,検知時運転時間,衝突感知フラグ,急停車フラグ,急ハンドルフラグ,SOS発信フラグ,アルコール検知フラグ
CTR00010,2026-08-02 03:11:27,35.172113,136.910462,愛知県,名古屋市,71.4,106,0,0,0,0,0
CTR00245,2026-08-02 02:34:59,35.683055,139.783689,東京都,千代田区,43.5,196,0,0,0,0,0
CTR00043,2026-08-02 03:52:49,35.428675,139.649902,神奈川県,横浜市,84.3,251,0,0,0,0,0
CTR00214,2026-08-02 06:45:38,35.513684,139.691116,神奈川県,川崎市,98.2,88,0,0,0,0,0
CTR00100,2026-08-02 20:43:20,43.068107,141.361544,北海道,札幌市,10.6,270,0,0,0,0,0
CTR00295,2026-08-02 10:13:44,35.704108,139.70831,東京都,新宿区,3.5,191,0,0,0,0,0
CTR00114,2026-08-02 20:03:47,38.253976,140.880759,宮城県,仙台市,50.0,143,0,0,0,0,0
CTR00153,2026-08-02 11:59:47,34.682342,135.514673,大阪府,大阪市,63.2,181,0,0,0,0,0
CTR00247,2026-08-02 23:05:16,34.704619,135.196776,兵庫県,神戸市,29.7,250,0,1,0,0,0
CTR00162,2026-08-02 20:12:19,34.373776,132.44774,広島県,広島市,24.4,131,0,0,0,0,0
CTR00289,2026-08-02 12:18:54,35.691136,139.699557,東京都,新宿区,17.2,145,0,0,0,0,0
CTR00207,2026-08-02 22:09:00,35.519676,139.711486,神奈川県,川崎市,73.1,77,0,0,0,0,0
CTR00118,2026-08-02 20:12:34,34.386563,132.455722,広島県,広島市,40.5,275,0,0,0,0,0
CTR00194,2026-08-02 22:22:39,34.705194,135.191076,兵庫県,神戸市,96.8,224,0,0,0,0,0
CTR00221,2026-08-02 21:48:03,43.045914,141.344755,北海道,札幌市,72.9,44,0,0,0,0,0
CTR00235,2026-08-02 10:13:46,35.665067,139.74476,東京都,港区,,128,0,0,1,0,0
CTR00295,2026-08-02 17:37:40,33.60074,130.382285,福岡県,福岡市,71.3,63,0,0,0,0,0
CTR00094,2026-08-02 19:09:32,38.277174,140.87923,宮城県,仙台市,58.5,182,0,0,0,0,0
CTR00239,2026-08-02 15:54:13,35.715863,139.778555,東京都,千代田区,27.0,160,0,0,0,0,0
CTR00279,2026-08-02 20:03:15,34.681209,135.485835,大阪府,大阪市,36.8,32,0,0,0,0,0
CTR00276,2026-08-02 23:49:44,35.713036,139.768265,東京都,千代田区,61.9,195,0,0,0,0,0
CTR00166,2026-08-02 22:38:11,34.38546,132.473268,広島県,広島市,36.2,186,0,0,0,0,0
CTR00182,2026-08-02 13:21:28,33.592588,130.411612,福岡県,福岡市,41.4,108,0,0,0,0,0
CTR00112,2026-08-02 20:20:35,35.693888,139.699686,東京都,新宿区,80.3,226,0,0,0,0,0
CTR00292,2026-08-02 13:19:33,35.184828,136.910114,愛知県,名古屋市,5.2,12,0,0,0,0,0
CTR00235,2026-08-02 15:05:17,34.693763,135.521347,大阪府,大阪市,37.5,219,0,0,0,0,0
CTR00223,2026-08-02 21:00:30,34.69846,135.519931,大阪府,大阪市,12.8,235,0,0,0,0,0
CTR00098,2026-08-02 17:31:54,35.655249,139.732125,東京都,港区,5.5,220,0,0,0,0,0
CTR00036,2026-08-02 12:32:31,35.517605,139.71883,神奈川県,川崎市,7.6,282,0,0,0,0,0
CTR00266,2026-08-02 20:39:01,34.682245,135.187968,兵庫県,神戸市,,149,0,0,0,0,0
CTR00265,2026-08-02 19:26:25,35.1905,136.909372,愛知県,名古屋市,77.7,110,0,0,0,0,0
CTR00218,2026-08-02 16:42:59,43.06511,141.345735,北海道,札幌市,56.0,42,0,0,0,0,0
CTR00187,2026-08-02 20:25:39,34.385854,132.471432,広島県,広島市,81.8,81,0,0,0,0,0
CTR00160,2026-08-02 21:35:20,43.049849,141.349735,北海道,札幌市,27.9,135,0,0,0,0,0
CTR00185,2026-08-02 10:17:43,35.176482,136.918309,愛知県,名古屋市,8.7,181,0,0,0,0,0
CTR00213,2026-08-02 16:10:37,33.591278,130.405257,福岡県,福岡市,62.3,118,0,0,0,0,0
CTR00273,2026-08-02 22:12:28,34.689545,135.21233,兵庫県,神戸市,29.1,268,0,0,0,0,0
CTR00272,2026-08-02 13:01:48,34.693191,135.499499,大阪府,大阪市,100.0,100,0,0,0,0,0
CTR00055,2026-08-02 22:06:39,35.689923,139.696305,東京都,新宿区,51.0,57,0,1,0,0,0
CTR00044,2026-08-02 13:24:16,35.708449,139.76172,東京都,千代田区,46.6,241,0,0,0,0,0
CTR00190,2026-08-02 22:31:05,35.708331,139.758119,東京都,千代田区,23.7,225,0,0,0,0,0
CTR00192,2026-08-02 14:57:48,35.699289,139.78411,東京都,千代田区,34.5,153,0,0,0,0,0
CTR00184,2026-08-02 11:10:10,35.173326,136.911185,愛知県,名古屋市,50.6,218,0,0,0,0,0
CTR00228,2026-08-02 17:59:04,34.691126,135.514079,大阪府,大阪市,14.2,188,0,0,0,0,0
CTR00208,2026-08-02 11:40:55,35.675745,139.727872,東京都,港区,16.3,80,0,0,0,0,0
CTR00118,2026-08-02 23:30:05,33.606591,130.407601,福岡県,福岡市,17.7,156,0,0,0,0,0
CTR00044,2026-08-02 20:25:24,33.599085,130.415945,福岡県,福岡市,75.7,136,0,0,0,0,0
CTR00149,2026-08-02 14:38:49,34.399825,132.4682,広島県,広島市,48.6,298,0,0,0,0,0
CTR00138,2026-08-02 23:42:41,34.403006,132.438609,広島県,広島市,78.0,241,0,0,0,0,0
CTR00240,2026-08-02 16:24:26,35.668155,139.726698,東京都,港区,53.2,94,0,0,0,0,0
CTR00223,2026-08-02 19:32:54,33.587649,130.395601,福岡県,福岡市,5.3,80,0,0,0,0,0
CTR00182,2026-08-02 21:30:17,33.603342,130.414528,福岡県,福岡市,35.1,12,0,0,0,0,0
CTR00019,2026-08-02 10:06:06,43.045962,141.354633,北海道,札幌市,23.1,167,0,0,0,0,0
CTR00065,2026-08-02 21:57:05,35.692496,139.769627,東京都,千代田区,65.8,243,0,0,1,0,0
CTR00287,2026-08-02 09:28:33,35.687555,139.773197,東京都,千代田区,95.8,49,0,0,0,0,0
CTR00286,2026-08-02 22:46:58,33.582993,130.383422,福岡県,福岡市,39.8,102,0,0,0,0,0
CTR00004,2026-08-02 18:58:51,34.693719,135.499651,大阪府,大阪市,54.7,233,0,0,0,0,0
CTR00076,2026-08-02 23:13:06,34.692086,135.499539,大阪府,大阪市,19.8,206,0,0,0,0,0
CTR00237,2026-08-02 17:55:39,34.686826,135.205791,兵庫県,神戸市,8.4,98,0,1,0,0,0
CTR00018,2026-08-02 23:17:06,35.679446,139.77643,東京都,千代田区,,243,0,0,0,0,0
CTR00283,2026-08-02 09:22:02,34.70627,135.190489,兵庫県,神戸市,5.1,16,0,0,0,0,0
CTR00090,2026-08-02 14:58:15,35.441702,139.631498,神奈川県,横浜市,8.4,274,0,0,0,0,0
CTR00275,2026-08-02 20:34:43,33.578744,130.393556,福岡県,福岡市,54.7,285,0,0,0,0,0
CTR00030,2026-08-02 13:38:43,35.706187,139.760837,東京都,千代田区,26.0,26,0,0,0,0,0
CTR00095,2026-08-02 22:57:45,34.678391,135.489062,大阪府,大阪市,76.2,193,0,0,0,0,0
CTR00144,2026-08-02 18:45:51,34.711077,135.509864,大阪府,大阪市,55.6,8,0,0,0,0,0
CTR00047,2026-08-02 09:58:55,38.279437,140.881059,宮城県,仙台市,51.2,23,0,0,0,0,0
CTR00283,2026-08-02 08:42:17,35.707257,139.702333,東京都,新宿区,,186,0,0,0,0,0
CTR00042,2026-08-02 17:23:03,35.536817,139.691393,神奈川県,川崎市,70.1,287,0,0,0,0,0
CTR00201,2026-08-02 13:51:07,33.573664,130.392044,福岡県,福岡市,,64,0,0,0,0,0
CTR00150,2026-08-02 10:55:53,34.704164,135.215158,兵庫県,神戸市,78.5,221,0,0,0,0,0
CTR00083,2026-08-02 13:49:15,35.165184,136.919011,愛知県,名古屋市,82.4,137,0,0,0,0,0
CTR00058,2026-08-02 13:10:24,35.52303,139.699008,神奈川県,川崎市,68.2,33,0,0,0,0,0
CTR00109,2026-08-02 21:08:35,35.453839,139.652914,神奈川県,横浜市,73.0,177,0,0,0,0,0
CTR00267,2026-08-02 11:24:14,33.582227,130.419002,福岡県,福岡市,27.2,234,0,0,0,0,0
